Year,Rank,Team,Commits,Average_Rating,Five_Stars,Total_Score,Conference
2024,1,Alabama,43,92.11,6,317.38,SEC
2024,2,Ohio State,29,92.81,6,309.04,Big Ten
2024,3,Georgia,40,92.71,5,319.02,SEC
2024,4,Texas,34,91.59,5,300.72,Big 12
2024,5,Miami,42,90.26,3,299.1,ACC
2024,6,Tennessee,30,90.73,2,278.88,SEC
2024,7,Clemson,22,90.63,2,272.16,ACC
2024,8,South Carolina,38,89.19,2,265.03,SEC
2024,9,Florida,36,90.46,2,288.11,SEC
2024,10,Oregon,41,91.63,1,302.98,Pac-12
2024,11,LSU,38,90.42,1,281.98,SEC
2024,12,Auburn,36,90.23,1,283.99,SEC
2024,13,Oklahoma,44,90.08,1,280,Big 12
2024,14,Texas A&M,45,89.82,1,268.52,SEC
2024,15,Ole Miss,47,88.95,1,267.89,SEC
2024,16,Missouri,37,89.18,1,259.98,SEC
2024,17,Colorado,55,88.01,1,257.17,Pac-12
2024,18,Nebraska,41,88.26,1,251.69,Big Ten
2024,19,Texas Tech,37,88.27,1,246.25,Big 12
2023,1,Alabama,33,94.11,9,328.57,SEC
2023,2,Georgia,30,93.65,5,317.39,SEC
2023,3,Texas,30,92.5,5,312.34,Big 12
2023,4,LSU,39,91.37,3,297.52,SEC
2023,5,Oklahoma,43,90.53,3,295.53,Big 12
2023,6,USC,39,91.05,3,294.41,Pac-12
2023,7,Miami,43,91.18,2,292.01,ACC
2023,8,Texas A&M,35,90.08,2,281.77,SEC
2023,9,Colorado,73,87.31,2,259.34,Pac-12
2023,10,Ohio State,30,92.54,1,297.91,Big Ten
2023,11,Oregon,45,90.42,1,282.91,Pac-12
2023,12,Tennessee,33,90.21,1,281.33,SEC
2023,13,Clemson,27,90.49,1,273.59,ACC
2023,14,Florida State,31,90.26,1,269.7,ACC
2023,15,Ole Miss,39,89.3,1,263.89,SEC
2023,16,South Carolina,36,89.42,1,263.03,SEC
2023,17,UCLA,29,88.81,1,245.02,Pac-12
2022,1,Texas A&M,32,94.9,8,333.33,SEC
2022,2,Alabama,31,95.12,5,327.13,SEC
2022,3,Georgia,31,93.01,5,318.34,SEC
2022,4,Ohio State,25,93.89,2,304.34,Big Ten
2022,5,Texas,35,91.14,3,299.2,Big 12
2022,6,USC,29,90.68,3,286.32,Pac-12
2022,7,LSU,30,89.95,1,281.92,SEC
2022,8,Penn State,29,90.87,3,279.71,Big Ten
2022,9,Notre Dame,26,91.71,1,279.34,Independent
2022,10,North Carolina,31,90.77,2,269.81,ACC
2022,11,Clemson,22,89.36,2,261.72,ACC
2022,12,Michigan,25,90.35,1,268.91,Big Ten
2022,13,Oregon,27,89.65,1,258.41,Pac-12
2022,14,Missouri,34,88.44,1,253.45,SEC
2021,1,Alabama,27,95.07,7,327.8,SEC
2021,2,Ohio State,24,95.05,7,321.78,Big Ten
2021,3,Georgia,20,93.59,4,294.8,SEC
2021,4,LSU,25,92.89,2,295.97,SEC
2021,5,Miami,23,90.73,2,267.59,ACC
2021,6,Clemson,19,94.05,3,291.17,ACC
2021,7,USC,23,91.98,1,281.92,Pac-12
2021,8,Texas A&M,23,91.92,1,280.49,SEC
2021,9,Oklahoma,16,93.35,1,268.95,Big 12
2021,10,Florida,23,90.51,1,264.13,SEC
2021,11,Michigan,22,90.21,1,262.15,Big Ten
2021,12,North Carolina,24,91.04,1,257.85,ACC
2021,13,Texas,23,89.18,1,248.65,Big 12
2021,14,Wisconsin,21,89.31,1,243,Big Ten
2021,15,Maryland,25,87.65,1,232.64,Big Ten
2021,16,Washington,19,88.31,1,211.54,Pac-12
2020,1,Georgia,25,93.08,4,313.48,SEC
2020,2,Alabama,25,93.66,4,310.49,SEC
2020,3,Clemson,23,93.56,5,309.9,ACC
