Rank,Name,HomeTown,Position,Height,Weight,Committed_To,Year,Conference,County
1,Jeremiah Smith,"Opa Locka, FL",WR,6 ft 3 in,214,Ohio State,2024,Big Ten,Miami-Dade County
2,Ellis Robinson IV,"Bradenton, FL",CB,6 ft 1 in,185,Georgia,2024,SEC,Manatee County
3,DJ Lagway,"Willis, TX",QB,6 ft 2 in,225,Florida,2024,SEC,Montgomery County
4,LJ McCray,"Daytona Beach, FL",DL,6 ft 4.5 in,279,Florida,2024,SEC,Volusia County
5,Cam Coleman,"Phenix City, AL",WR,6 ft 3 in,180,Auburn,2024,SEC,Russell County
6,Williams Nwaneri,"Lees Summit, MO",DL,6 ft 6.5 in,260,Missouri,2024,SEC,Jackson County
7,Dylan Raiola,"Buford, GA",QB,6 ft 3 in,230,Nebraska,2024,Big Ten,Gwinnett County
8,Ryan Williams,"Saraland, AL",WR,6 ft 0.5 in,165,Alabama,2024,SEC,Mobile County
9,Jordan Ross,"Birmingham, AL",Edge,6 ft 4.5 in,233,Tennessee,2024,SEC,Jefferson County
10,Justin Williams,"Conroe, TX",LB,6 ft 2 in,205,Georgia,2024,SEC,Montgomery County
11,Justin Scott,"Chicago, IL",DL,6 ft 4 in,310,Miami,2024,ACC,Unknown
12,Jaylen Mbakwe,"Pinson, AL",CB,5 ft 11 in,170,Alabama,2024,SEC,Unknown
13,Jordan Seaton,"Bradenton, FL",OT,6 ft 5 in,287,Colorado,2024,Big-12,Manatee County
14,Sammy Brown,"Jefferson, GA",LB,6 ft 2 in,230,Clemson,2024,ACC,Unknown
15,KJ Bolden,"Buford, GA",S,6 ft 0.5 in,187,Georgia,2024,SEC,Gwinnett County
16,Terry Bussey,"Timpson, TX",ATH,5 ft 10.5 in,180,Texas A&M,2024,SEC,Unknown
17,David Stone,"Oklahoma City, OK",DL,6 ft 4 in,275,Oklahoma,2024,SEC,Unknown
18,Dominick McKinley,"Lafayette, LA",DL,6 ft 5.5 in,280,LSU,2024,SEC,Unknown
19,Dylan Stewart,"Washington, DC",Edge,6 ft 5 in,250,South Carolina,2024,SEC,Unknown
20,Julian Sayin,"Carlsbad, CA",QB,6 ft 1 in,195,Alabama,2024,SEC,Unknown
21,T.J. Moore,"Tampa, FL",WR,6 ft 3 in,195,Clemson,2024,ACC,Unknown
22,Zabien Brown,"Santa Ana, CA",CB,6 ft 0 in,182,Alabama,2024,SEC,Unknown
23,Chris Cole,"Salem, VA",LB,6 ft 3 in,210,Georgia,2024,SEC,Unknown
24,Bryce Young,"Charlotte, NC",DL,6 ft 5.5 in,244,Notre Dame,2024,Independent/ACC,Unknown
25,Micah Hudson,"Temple, TX",WR,6 ft 0 in,190,Texas Tech,2024,Big 12,Unknown
26,Elijah Rushing,"Tucson, AZ",Edge,6 ft 6 in,251,Oregon,2024,Big Ten,Unknown
27,Gatlin Bair,"Burley, ID",WR,6 ft 1 in,194,Oregon,2024,Big Ten,Unknown
28,Colin Simmons,"Duncanville, TX",Edge,6 ft 2 in,230,Texas,2024,SEC,Unknown
29,Luke Reynolds,"Cheshire, CT",TE,6 ft 4 in,220,Penn State,2024,Big Ten,Unknown
30,Amaris Williams,"Clinton, NC",Edge,6 ft 2 in,257,Auburn,2024,SEC,Unknown
31,Zavier Mincey,"Daytona Beach, FL",CB,6 ft 1.5 in,187,Alabama,2024,SEC,Volusia County
32,Ryan Wingo,"Saint Louis, MO",WR,6 ft 1.5 in,210,Texas,2024,SEC,Unknown
1,Arch Manning,"New Orleans, LA",QB,6 ft 4 in,215,Texas,2023,Big 12,Unknown
2,Nico Iamaleava,"Downey, CA",QB,6 ft 5 in,195,Tennessee,2023,SEC,Unknown
3,Keon Keeley,"Tampa, FL",Edge,6 ft 5 in,242,Alabama,2023,SEC,Unknown
4,Dante Moore,"Detroit, MI",QB,6 ft 2.5 in,210,UCLA,2023,Pac-12,Unknown
5,Kadyn Proctor,"Des Moines, IA",OT,6 ft 7 in,330,Alabama,2023,SEC,Unknown
6,Francis Mauigoa,"Bradenton, FL",OT,6 ft 5.5 in,330,Miami,2023,ACC,Manatee County
7,Zachariah Branch,"Las Vegas, NV",WR,5 ft 10 in,172,USC,2023,Pac-12,Unknown
8,Caleb Downs,"Hoschton, GA",S,5 ft 11 in,197,Alabama,2023,SEC,Unknown
9,Adepoju Adebawore,"Kansas City, MO",Edge,6 ft 4 in,240,Oklahoma,2023,Big 12,Unknown
10,Jackson Arnold,"Denton, TX",QB,6 ft 1 in,205,Oklahoma,2023,Big 12,Unknown
11,DJ Hicks,"Katy, TX",DL,6 ft 4 in,290,Texas A&M,2023,SEC,Unknown
12,Jordan Hall,"Jacksonville, FL",DL,6 ft 3.5 in,317,Georgia,2023,SEC,Unknown
13,Malachi Nelson,"Los Alamitos, CA",QB,6 ft 3 in,182,USC,2023,Pac-12,Unknown
14,Cormani McClain,"Lakeland, FL",CB,6 ft 2 in,165,Colorado,2023,Pac-12,Unknown
15,Nyck Harbor,"Washington, DC",ATH,6 ft 5 in,225,South Carolina,2023,SEC,Unknown
16,Lance Heard,"Monroe, LA",OT,6 ft 5.5 in,310,LSU,2023,SEC,Unknown
17,Anthony Hill Jr.,"Denton, TX",LB,6 ft 2 in,225,Texas,2023,Big 12,Unknown
18,Jurrion Dickey,"East Palo Alto, CA",WR,6 ft 3 in,210,Oregon,2023,Pac-12,Unknown
19,Duce Robinson,"Phoenix, AZ",TE,6 ft 6 in,225,USC,2023,Pac-12,Unknown
20,Samson Okunlola,"Brockton, MA",OT,6 ft 5 in,305,Miami,2023,ACC,Unknown
21,Raylen Wilson,"Tallahassee, FL",LB,6 ft 2 in,213,Georgia,2023,SEC,Unknown
22,Carnell Tate,"Bradenton, FL",WR,6 ft 2 in,180,Ohio State,2023,Big Ten,Manatee County
23,Suntarine Perkins,"Raleigh, MS",LB,6 ft 3 in,205,Ole Miss,2023,SEC,Unknown
24,Hykeem Williams,"Fort Lauderdale, FL",WR,6 ft 3 in,200,Florida State,2023,ACC,Unknown
25,J'ven Williams,"Reading, PA",OT,6 ft 4 in,285,Penn State,2023,Big Ten,Unknown
26,Da'Shawn Womack,"Baltimore, MD",Edge,6 ft 4 in,240,LSU,2023,SEC,Unknown
27,A.J. Harris,"Phenix City, AL",CB,6 ft 1 in,180,Georgia,2023,SEC,Russell County
28,Yhonzae Pierre,"Eufaula, AL",Edge,6 ft 3 in,223,Alabama,2023,SEC,Unknown
29,Joenel Aguero,"Lynn, MA",S,6 ft 0 in,195,Georgia,2023,SEC,Unknown
30,CJ Baxter,"Orlando, FL",RB,6 ft 1 in,215,Texas,2023,Big 12,Unknown
31,Rueben Owens,"El Campo, TX",RB,5 ft 11 in,190,Texas A&M,2023,SEC,Unknown
32,Vic Burley,"Warner Robins, GA",DL,6 ft 5 in,276,Clemson,2023,ACC,Unknown
1,Travis Hunter,"Suwanee, GA",CB,6 ft 1 in,165,Jackson State,2022,SWAC,Unknown
2,Walter Nolen,"Powell, TN",DL,6 ft 4 in,325,Texas A&M,2022,SEC,Unknown
3,Drew Allar,"Medina, OH",QB,6 ft 4.5 in,232,Penn State,2022,Big Ten,Unknown
4,Malaki Starks,"Jefferson, GA",ATH,6 ft 1 in,200,Georgia,2022,SEC,Unknown
5,Harold Perkins Jr.,"Cypress, TX",LB,6 ft 2.5 in,210,LSU,2022,SEC,Unknown
6,Evan Stewart,"Frisco, TX",WR,6 ft 0 in,175,Texas A&M,2022,SEC,Unknown
7,Mykel Williams,"Columbus, GA",DL,6 ft 5 in,265,Georgia,2022,SEC,Unknown
8,Josh Conerly Jr.,"Seattle, WA",OT,6 ft 5 in,283,Oregon,2022,Pac-12,Unknown
9,Shemar Stewart,"Opa Locka, FL",DL,6 ft 6 in,272,Texas A&M,2022,SEC,Miami-Dade County
10,C.J. Hicks,"Dayton, OH",LB,6 ft 3 in,215,Ohio State,2022,Big Ten,Unknown
11,Gabriel Brownlow-Dindy,"Lakeland, FL",DL,6 ft 3 in,280,Texas A&M,2022,SEC,Unknown
12,Travis Shaw,"Greensboro, NC",DL,6 ft 5 in,310,North Carolina,2022,ACC,Unknown
13,Cade Klubnik,"Austin, TX",QB,6 ft 2.5 in,186,Clemson,2022,ACC,Unknown
