Date,Location,Result,Year,Winner,Winner_Score,Loser,Loser_Score
Sept. 2,"Charlotte, NC","No. 21 North Carolina 31, South Carolina 17",2023,No. 21 North Carolina,31,South Carolina,17
Sept. 9,"Tuscaloosa, AL","No. 11 Texas 34, No. 3 Alabama 24",2023,No. 11 Texas,34,No. 3 Alabama,24
Sept. 16,"Boulder, CO","No. 18 Colorado 43, Colorado State 35",2023,No. 18 Colorado,43,Colorado State,35
Sept. 23,"South Bend, IN","No. 6 Ohio State 17, No. 9 Notre Dame 14",2023,No. 6 Ohio State,17,No. 9 Notre Dame,14
Sept. 30,"Durham, NC","No. 11 Notre Dame 21, No. 17 Duke 14",2023,No. 11 Notre Dame,21,No. 17 Duke,14
Oct. 7,"Dallas, TX","No. 12 Oklahoma 34, No. 3 Texas 30",2023,No. 12 Oklahoma,34,No. 3 Texas,30
Oct. 14,"Seattle, WA","No. 7 Washington 36, No. 8 Oregon 33",2023,No. 7 Washington,36,No. 8 Oregon,33
Oct. 21,"Columbus, OH","No. 3 Ohio State 20, No. 6 Penn State 12",2023,No. 3 Ohio State,20,No. 6 Penn State,12
Oct. 28,"Salt Lake City, UT","No. 8 Oregon 35, No. 13 Utah 6",2023,No. 8 Oregon,35,No. 13 Utah,6
Nov. 4,"Tuscaloosa, AL","No. 8 Alabama 42, No. 14 LSU 28",2023,No. 8 Alabama,42,No. 14 LSU,28
Nov. 11,"Athens, GA","No. 2 Georgia 52, Ole Miss 17",2023,No. 2 Georgia,52,Ole Miss,17
Nov. 18,"Harrisonburg, VA","Appalachian State 26, James Madison 24",2023,Appalachian State,26,James Madison,24
Nov. 25,"Ann Arbor, MI","No. 3 Michigan 30, No. 2 Ohio State 24",2023,No. 3 Michigan,30,No. 2 Ohio State,24
Dec. 2,"Atlanta, GA (SEC Championship)","No. 8 Alabama 27, No. 1 Georgia 24",2023,No. 8 Alabama,27,No. 1 Georgia,24
Jan. 1,"Pasadena, Calif (Rose Bowl)","No. 1 Michigan 27, No. 5 Alabama 20",2023,No. 1 Michigan,27,No. 5 Alabama,20
Jan. 8,"Houston, TX (CFP National Championship)","No. 1 Michigan 34, No. 2 Washington 13",2023,No. 1 Michigan,34,No. 2 Washington,13
