Date,Location,Winner,Score,Loser,Year
Aug. 24,"Dublin, Ireland",Georgia Tech,24-21,No. 10 Florida State,2024
Aug. 31,"College Station, TX",No. 7 Notre Dame,23-13,No. 20 Texas A&M,2024
Sept. 7,"Ann Arbor, MI",No. 3 Texas,31-12,No. 10 Michigan,2024
Sept. 14,"Columbia, SC",No. 16 LSU,36-33,South Carolina,2024
Sept. 21,"Norman, OK",No. 6 Tennessee,25-14,No. 15 Oklahoma,2024
Sept. 28,"Tuscaloosa, AL",No. 4 Alabama,41-34,No. 2 Georgia,2024
Oct. 5,"Berkeley, CA",No. 8 Miami (Fla.),39-38,Cal,2024
Oct. 12,"Eugene, OR",No. 3 Oregon,32-31,No. 2 Ohio State,2024
Oct. 19,"Austin, TX",No. 5 Georgia,30-15,No. 1 Texas,2024
Oct. 26,"Bloomington, IN",No. 13 Indiana,31-17,Washington,2024
Nov. 2,"University Park, PA",No. 4 Ohio State,20-13,No. 3 Penn State,2024
Nov. 9,"Baton Rouge, LA",No. 11 Alabama,42-13,No. 14 LSU,2024
Nov. 16,"Athens, GA",No. 12 Georgia,31-17,No. 7 Tennessee,2024
Nov. 23,"Columbus, OH",No. 2 Ohio State,38-15,No. 5 Indiana,2024
Nov. 30,"College Station, TX",Texas,at,Texas A&M,2024
Sept. 2,"Charlotte, NC",No. 21 North Carolina,31-17,South Carolina,2023
Sept. 9,"Tuscaloosa, AL",No. 11 Texas,34-24,No. 3 Alabama,2023
Sept. 16,"Boulder, CO",No. 18 Colorado,43-35,Colorado State,2023
