Date,SEC,Points_SEC,Points_Big10,Big_10,Home/Away
9/21/2024,LSU,34,17,UCLA,home
9/14/2024,Alabama,42,10,Wisconsin,away
9/7/2024,Texas,31,12,Michigan,away
9/1/2024,LSU,20,27,Southern California,home
1/1/2024,LSU,35,31,Wisconsin,bowl
1/1/2024,Tennessee,35,0,Iowa,bowl
1/1/2024,Alabama,20,27,Michigan,bowl
12/30/2023,Mississippi,38,25,Penn State,bowl
12/30/2023,Auburn,13,31,Maryland,bowl
12/29/2023,Missouri,14,3,Ohio State,bowl
1/2/2023,Mississippi State,19,10,Illinois,bowl
1/2/2023,LSU,63,7,Purdue,bowl
12/31/2022,Kentucky,0,21,Iowa,bowl
12/31/2022,Georgia,42,41,Ohio State,bowl
9/17/2022,Auburn,12,41,Penn State,home
1/1/2022,Arkansas,24,10,Penn State,bowl
1/1/2022,Kentucky,20,17,Iowa,bowl
12/31/2021,Georgia,34,11,Michigan,bowl
12/30/2021,Tennessee,45,48,Purdue,bowl
9/18/2021,Auburn,20,28,Penn State,away
1/11/2021,Alabama,52,24,Ohio State,bowl
1/2/2021,Mississippi,26,20,Indiana,bowl
1/1/2021,Auburn,19,35,Northwestern,bowl
1/2/2020,Tennessee,23,22,Indiana,bowl
1/1/2020,Auburn,24,31,Minnesota,bowl
1/1/2020,Alabama,35,16,Michigan,bowl
9/7/2019,Vanderbilt,24,42,Purdue,away
1/1/2019,Mississippi State,22,27,Iowa,bowl
1/1/2019,Kentucky,27,24,Penn State,bowl
12/29/2018,Florida,41,15,Michigan,bowl
12/28/2018,Auburn,63,14,Purdue,bowl
9/15/2018,Missouri,40,37,Purdue,away
1/1/2018,South Carolina,26,19,Michigan,bowl
12/29/2017,Kentucky,23,24,Northwestern,bowl
9/16/2017,Missouri,3,35,Purdue,home
9/2/2017,Florida,17,33,Michigan,home
1/2/2017,Florida,30,3,Iowa,bowl
12/30/2016,Tennessee,38,24,Nebraska,bowl
9/3/2016,LSU,14,16,Wisconsin,away
1/2/2016,Georgia,24,17,Penn State,bowl
1/1/2016,Tennessee,45,6,Northwestern,bowl
1/1/2016,Florida,7,41,Michigan,bowl
12/31/2015,Alabama,38,0,Michigan State,bowl
9/5/2015,Alabama,35,17,Wisconsin,home
1/2/2015,Tennessee,45,28,Iowa,bowl
1/1/2015,Auburn,31,34,Wisconsin,bowl
1/1/2015,Missouri,33,17,Minnesota,bowl
1/1/2015,Alabama,35,42,Ohio State,bowl
9/20/2014,Missouri,27,31,Indiana,home
8/30/2014,LSU,28,24,Wisconsin,bowl
1/1/2014,Georgia,19,24,Nebraska,bowl
1/1/2014,South Carolina,34,24,Wisconsin,bowl
1/1/2014,LSU,21,14,Iowa,bowl
