Date,SEC,Points_SEC,Points_Big12,Big-12,Home/Away
10/5/2024,Florida,24,13,Central Florida,home
9/7/2024,Arkansas,31,39,Oklahoma State,away
9/7/2024,Oklahoma,16,12,Houston,home
9/7/2024,Mississippi State,23,30,Arizona State,away
12/27/2023,Texas A&M,23,31,Oklahoma State,bowl
9/16/2023,Missouri,30,27,Kansas State,home
9/16/2023,Arkansas,31,38,Brigham Young,home
9/9/2023,Alabama,24,34,Texas,home
1/9/2023,Georgia,65,7,Texas Christian,bowl
12/31/2022,Alabama,45,20,Kansas State,bowl
12/28/2022,Arkansas,55,53,Kansas,bowl
12/28/2022,Mississippi,25,42,Texas Tech,bowl
9/10/2022,Alabama,20,19,Texas,away
9/10/2022,Missouri,12,40,Kansas State,away
1/4/2022,LSU,20,42,Kansas State,bowl
1/1/2022,Mississippi,7,21,Baylor,bowl
12/28/2021,Mississippi State,7,34,Texas Tech,bowl
9/11/2021,Arkansas,40,21,Texas,home
12/30/2020,Florida,20,55,Oklahoma,bowl
1/1/2020,Georgia,26,14,Baylor,bowl
12/28/2019,LSU,63,28,Oklahoma,bowl
12/27/2019,Texas A&M,24,21,Oklahoma State,bowl
9/14/2019,Mississippi State,24,31,Kansas State,home
9/7/2019,Missouri,38,7,West Virginia,home
9/7/2019,LSU,45,38,Texas,away
1/1/2019,Georgia,21,28,Texas,bowl
12/31/2018,Missouri,33,38,Oklahoma State,bowl
12/29/2018,Alabama,45,34,Oklahoma,bowl
12/27/2018,Vanderbilt,38,45,Baylor,bowl
9/8/2018,Mississippi State,31,10,Kansas State,away
9/1/2018,Mississippi,47,27,Texas Tech,away
9/1/2018,Tennessee,14,40,West Virginia,away
1/1/2018,Georgia,54,48,Oklahoma,bowl
12/27/2017,Missouri,16,33,Texas,bowl
9/16/2017,Vanderbilt,14,7,Kansas State,home
9/9/2017,Arkansas,7,28,Texas Christian,home
1/2/2017,Auburn,19,35,Oklahoma,bowl
12/30/2016,Georgia,31,23,Texas Christian,bowl
12/28/2016,Texas A&M,28,33,Kansas State,bowl
9/10/2016,Arkansas,41,38,Texas Christian,away
9/3/2016,Missouri,11,26,West Virginia,away
1/2/2016,Arkansas,45,23,Kansas State,bowl
1/1/2016,Mississippi,48,20,Oklahoma State,bowl
12/29/2015,LSU,56,27,Texas Tech,bowl
9/19/2015,Arkansas,24,35,Texas Tech,home
9/12/2015,Tennessee,24,31,Oklahoma,home
12/31/2014,Mississippi,3,42,Texas Christian,bowl
12/29/2014,Texas A&M,45,37,West Virginia,bowl
12/29/2014,Arkansas,31,7,Texas,bowl
9/18/2014,Auburn,20,14,Kansas State,away
9/13/2014,Arkansas,49,28,Texas Tech,away
9/13/2014,Tennessee,10,34,Oklahoma,away
8/30/2014,Alabama,33,23,West Virginia,bowl
1/3/2014,Missouri,41,31,Oklahoma State,bowl
1/2/2014,Alabama,31,45,Oklahoma,bowl
