Rk,School,G,Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Total_Plays,Total_Yds,Avg_Total_yrds,Pass_FD,Rush_FD,Pen_FD,Tot_FD_per_game,No_Penalties_per_game,Penalty_Yds,Fum,Int,TO,Year,Conference
1,Ohio State,11,10.7,15.5,25.6,60.3,151.7,0.4,33.3,90,2.7,0.7,58.9,241.7,4.1,6.7,5.9,1.6,14.3,3.5,24.5,0.7,0.6,1.4,2024,Big Ten
3,Texas,11,12.1,16.4,28.4,57.7,143.5,0.4,34,104,3.1,0.8,62.4,247.5,4,7.4,6.1,1.3,14.7,5.4,42.4,0.6,1.5,2.2,2024,Big 12
4,Tennessee,11,13.1,17.4,30.2,57.5,185.5,0.7,35.5,98.8,2.8,0.7,65.7,284.3,4.3,8.6,6.5,1.8,16.9,7.1,53.3,0.8,0.9,1.7,2024,SEC
5,Ole Miss,11,13.9,20.4,33.5,60.7,224.8,0.9,36.6,87.5,2.4,0.5,70.2,312.4,4.5,9.8,6.4,2.8,19,6.6,58,0.9,0.8,1.7,2024,SEC
7,Penn State,11,14.6,16.7,28.5,58.6,174.1,0.9,31.1,99.3,3.2,0.5,59.6,273.4,4.6,8.1,6.7,1.3,16.1,3.7,29.9,0.5,0.8,1.3,2024,Big Ten
8,Oregon,11,15.7,16.4,30.5,53.7,168.8,0.7,30.6,118.5,3.9,1,61.1,287.4,4.7,8,6.3,1.7,16,6.1,49.4,0.5,0.9,1.4,2024,Big Ten
9,Indiana,11,16,19.6,31.3,62.8,184.9,0.9,29.3,76.1,2.6,0.9,60.5,261,4.3,8.2,5.4,1.6,15.2,5.9,46.5,0.5,1.1,1.6,2024,Big Ten
11,Alabama,11,17.5,18.3,30.7,59.5,181.2,1,37.5,143.5,3.8,0.9,68.3,324.7,4.8,8.4,8,2.5,18.9,6,49.2,1,1.3,2.3,2024,SEC
12,Iowa,11,17.7,20,32.2,62.1,196.6,1.6,30,115.1,3.8,0.2,62.2,311.7,5,9.1,6.9,1,17,5.8,45.5,0.5,1.5,2,2024,Big Ten
14,South Carolina,11,18.2,17.5,30.7,56.8,200.3,0.8,35.2,103.4,2.9,1.3,65.9,303.6,4.6,9.1,6.6,1.6,17.4,6.5,55.9,0.7,1.1,1.8,2024,SEC
15,Georgia,11,18.5,16.6,29,57.4,186.5,0.9,34.3,124.5,3.6,1,63.3,311.1,4.9,8.1,6.8,2,16.9,5.7,44.7,0.8,0.5,1.4,2024,SEC
16,Minnesota,11,18.5,17.7,29.4,60.4,182.7,0.9,32.1,119.5,3.7,1.2,61.5,302.3,4.9,9,6.5,1.5,17,5,49.4,0.4,1.5,1.8,2024,Big Ten
20,Iowa State,11,19.5,14.1,26.5,53.1,151.2,0.8,34.9,176.4,5.1,1.3,61.5,327.5,5.3,7.9,8.3,0.7,16.9,6.5,55.9,0.5,1.3,1.7,2024,Big 12
22,Missouri,11,20,14.8,24.7,59.9,181.5,1.2,32.9,132.5,4,1,57.6,314,5.4,7.5,6.6,1.3,15.5,5.7,51.3,0.7,0.5,1.3,2024,SEC
23,Oklahoma,11,20.2,17,28.5,59.6,205.8,1.3,37,105.5,2.9,0.7,65.5,311.3,4.7,8.9,6.3,1.5,16.6,6.5,54.7,1,0.8,1.8,2024,Big 12
