Date,Year,Location,Game,Winner,Winner Conference,Winner_Score,Loser,Loser Conference,Loser_Score
Aug. 31,2024,"College Station, TX","No. 7 Notre Dame 23, No. 20 Texas A&M 13",Notre Dame,Independent,23,Texas A&M,SEC,13
Sept. 7,2024,"Ann Arbor, MI","No. 3 Texas 31, No. 10 Michigan 12",Texas,Big 12,31,Michigan,Big Ten,12
Sept. 14,2024,"Columbia, SC","No. 16 LSU 36, South Carolina 33",LSU,SEC,36,South Carolina,SEC,33
Sept. 21,2024,"Norman, OK","No. 6 Tennessee 25, No. 15 Oklahoma 14",Tennessee,SEC,25,Oklahoma,Big 12,14
Sept. 28,2024,"Tuscaloosa, AL","No. 4 Alabama 41, No. 2 Georgia 34",Alabama,SEC,41,Georgia,SEC,34
Oct. 5,2024,"Berkeley, CA","No. 8 Miami (Fla.) 39, Cal 38",Miami (Fla.),ACC,39,California,ACC,38
Oct. 12,2024,"Eugene, OR","No. 3 Oregon 32, No. 2 Ohio State 31",Oregon,Pac-12,32,Ohio State,Big Ten,31
Oct. 19,2024,"Austin, TX","No. 5 Georgia 30, No. 1 Texas 15",Georgia,SEC,30,Texas,Big 12,15
Oct. 26,2024,"Bloomington, IN","No. 13 Indiana 31, Washington 17",Indiana,Big Ten,31,Washington,Pac-12,17
Nov. 2,2024,"University Park, PA","No. 4 Ohio State 20, No. 3 Penn State 13",Ohio State,Big Ten,20,Penn State,Big Ten,13
Nov. 9,2024,"Baton Rouge, LA","No. 11 Alabama 42, No. 14 LSU 13",Alabama,SEC,42,LSU,SEC,13
Nov. 16,2024,"Athens, GA","No. 12 Georgia 31, No. 7 Tennessee 17",Georgia,SEC,31,Tennessee,SEC,17
Nov. 23,2024,"Columbus, OH","No. 2 Ohio State 38, No. 5 Indiana 15",Ohio State,Big Ten,38,Indiana,Big Ten,15
Sept. 2,2023,"Charlotte, NC","No. 21 North Carolina 31, South Carolina 17",North Carolina,ACC,31,South Carolina,SEC,17
Sept. 9,2023,"Tuscaloosa, AL","No. 11 Texas 34, No. 3 Alabama 24",Texas,Big 12,34,Alabama,SEC,24
Sept. 16,2023,"Boulder, CO","No. 18 Colorado 43, Colorado State 35",Colorado,Big 12,43,Colorado State,Mountain West,35
Sept. 23,2023,"South Bend, IN","No. 6 Ohio State 17, No. 9 Notre Dame 14",Ohio State,Big Ten,17,Notre Dame,Independent,14
Sept. 30,2023,"Durham, NC","No. 11 Notre Dame 21, No. 17 Duke 14 ",Notre Dame,Independent,21,Duke,ACC,14
Oct. 7,2023,"Dallas, TX","No. 12 Oklahoma 34, No. 3 Texas 30",Oklahoma,Big 12,34,Texas,Big 12,30
Oct. 14,2023,"Seattle, WA","No. 7 Washington 36, No. 8 Oregon 33",Washington,Pac-12,36,Oregon,Pac-12,33
Oct. 21,2023,"Columbus, OH","No. 3 Ohio State 20, No. 6 Penn State 12",Ohio State,Big Ten,20,Penn State,Big Ten,12
Oct. 28,2023,"Salt Lake City, UT","No. 8 Oregon 35, No. 13 Utah 6",Oregon,Pac-12,35,Utah,Pac-12,6
Nov. 4,2023,"Tuscaloosa, AL","No. 8 Alabama 42, No. 14 LSU 28",Alabama,SEC,42,LSU,SEC,28
Nov. 11,2023,"Athens, GA","No. 2 Georgia 52, Ole Miss 17",Georgia,SEC,52,Ole Miss,SEC,17
Nov. 18,2023,"Harrisonburg, VA","Appalachian State 26, James Madison 24",Appalachian State,SBC,26,James Madison,SBC,24
Nov. 25,2023,"Ann Arbor, MI","No. 3 Michigan 30, No. 2 Ohio State 24",Michigan,Big Ten,30,Ohio State,Big Ten,24
Dec. 2,2023,"Atlanta, GA ","No. 8 Alabama 27, No. 1 Georgia 24 (SEC Championship)",Alabama,SEC,27,Georgia,,24
Jan. 1,2023,"Pasadena, CA","No. 1 Michigan 27, No. 5 Alabama 20 Rose Bowl)",Michigan,Big Ten,27,Alabama,SEC,20
Jan. 8,2023,"Houston, TX","No. 1 Michigan 34, No. 2 Washington 13 (CFP National Championship)",Michigan,Big Ten,34,Washington,Pac-12,13
Sept. 1,2022,"Pittsburgh, PA","No. 17 Pittsburgh 38, West Virginia 31",Pittsburgh,ACC,38,West Virginia,Big-12,31
Sept. 3,2022,"Columbus, OH","No. 2 Ohio State 21, No. 5 Notre Dame 10",Ohio State,Big Ten,21,Notre Dame,Independent,10
Sept. 10,2022,"Austin, TX","No. 1 Alabama 20, Texas 19",Alabama,SEC,20,Texas,Big 12,19
Sept. 17,2022,"Boone, NC","Appalachian State 32, Troy 28",Appalachian State,SBC,32,Troy,SBC,28
Sept. 24,2022,"Knoxville, TN","No. 11 Tennessee 38, No. 20 Florida 33",Tennessee,SEC,38,Florida,SEC,33
Oct. 1 ,2022,"Clemson, SC","No. 5 Clemson 30, No. 10 NC State 20",Clemson,ACC,30,NC State,ACC,20
Oct. 8,2022,"Lawrence, KS","No. 17 TCU 38, No. 19 Kansas 31",TCU,Big 12,38,Kansas,Big 12,31
Oct. 15,2022,"Knoxville, TN","No. 6 Tennessee 52, No. 3 Alabama 49",Tennessee,SEC,52,Alabama,SEC,49
Oct. 22,2022,"Eugene, OR","No. 10 Oregon 45, No. 9 UCLA 30",Oregon,Pac-12,45,UCLA,Pac-12,30
Oct. 29,2022,"Jackson, MS","*No. 5 Jackson State 35, Southern 0",Jackson State,SAC,35,Southern,SAC,0
Nov. 5,2022,"Athens, GA","No. 3 Georgia 27, No. 1 Tennessee 13",Georgia,SEC,27,Tennessee,SEC,13
Nov. 12,2022,"Austin, TX","No. 4 TCU 17, No. 18 Texas 10",TCU,SEC,17,Texas,Big 12,10
Nov. 19,2022,"Bozeman, MT","No. 3 Montana State* 55, No. 12 Montana* 21",Montana State,Big Sky,55,Montana,Big Sky,21
Nov. 26,2022,"Columbus, OH","No. 3 Michigan 45, No. 2 Ohio State 23 ",Michigan,Big Ten,45,Ohio State,Big Ten,23
Dec. 3,2022,"Arlington, TX","No. 10 Kansas State 31, No. 3 TCU 28 (OT)  (Big 12 Championship)",Kansas State,Big 12,31,TCU,Big 12,28
Dec. 31,2022,"Atlanta, GA ","No. 1 Georgia 42, No. 4 Ohio State 41 (CFP Semifinal)",Georgia,SEC,42,Ohio State,Big Ten,41
Jan. 2,2022,"Pasadena, CA","No. 11 Penn State 35, No. 8 Utah 21 ",Penn State,Big Ten,35,Utah,Big 12,21
Jan. 9 ,2022,"Inglewood, CA","No. 1 Georgia 65, No. 3 TCU 7 (CFP National Championship)",Georgia,SEC,65,TCU,Big 12,7
Aug. 28,2021,"Atlanta, GA","North Carolina Central 23, Alcorn State 14",North Carolina Central,MEAC,23,Alcorn State,MEAC,14
Sept. 4,2021,"Charlotte, NC","No. 5 Georgia 10, No. 3 Clemson 3",Georgia,SEC,10,Clemson,ACC,3
Sept. 11,2021,"Ames, IA","No. 10 Iowa 27, No. 9 Iowa State 17",Iowa,Big Ten,27,Iowa State,Big 12,17
Sept. 18,2021,"University Park, PA","No. 10 Penn State 28, No. 22 Auburn 20",Penn State,Big Ten,28,Auburn,SEC,20
Sept. 25,2021,"Chicago, IL","No. 12 Notre Dame 41, No. 18 Wisconsin 13   (Soldier Field)",Notre Dame,Independent,41,Wisconsin,Big Ten,13
Oct. 2,2021,"Athens, GA","No. 2 Georgia 37, No. 8 Arkansas 0",Georgia,SEC,37,Arkansas,SEC,0
Oct. 9,2021,"Dallas, TX","No. 6 Oklahoma 55, No. 21 Texas 48  (Cotton Bowl)",Oklahoma,Big 12,55,Texas,Big 12,48
Oct. 16,2021,"Athens, GA","No. 1 Georgia 30, No. 11 Kentucky 13",Georgia,SEC,30,Kentucky,SEC,13
Oct. 23,2021,"Los Angeles, CA","No. 10 Oregon 34, UCLA 31",Oregon,Pac-12,34,UCLA,Pac-12,31
Oct. 30,2021,"East Lansing, MI","No. 8 Michigan State 37, No. 6 Michigan 33",Michigan State,Big 10,37,Michigan,Big Ten,33
Nov. 6,2021,"Cincinnati, OH","No. 6 Cincinnati 28, Tulsa 20",Cincinnati,Big 12,28,Tulsa,AAC,20
Nov. 13,2021,"Oxford, MS","No. 15 Ole Miss 29, No. 11 Texas A&M 19",Ole Miss,SEC,29,Texas A&M,SEC,19
Nov. 20,2021,"Columbus, OH","No. 4 Ohio State 56, No. 7 Michigan State 7",Ohio State,Big Ten,56,Michigan State,Big 10,7
Nov. 27,2021,"Ann Arbor, MI","No. 5 Michigan 42, No. 2 Ohio State 27",Michigan,Big Ten,42,Ohio State,Big Ten,27
Dec. 4 ,2021,"Atlanta, GA","No. 3 Alabama 41, No. 1 Georgia 24 (SEC Championship)",Alabama,SEC,41,Georgia,SEC,24
Dec. 11,2021,"East Rutherford, NJ","Navy 17, Army 13",Navy,Independent,17,Army,Independent,13
Dec. 31,2021,"Miami Gardens, FL","No. 3 Georgia 34, No. 2 Michigan 11  (CFP Semifinal)",Georgia,SEC,34,Michigan,Big Ten,11
Jan. 1,2021,"Pasadena, CA","No. 7 Ohio State 48, No. 10 Utah 45 (Rose Bowl)",Ohio State,Big Ten,48,Utah,Big 12,45
Jan. 10,2021,"Indianapolis, IN","No. 3 Georgia 33, No. 1 Alabama 18 (CFP National Championship)",Georgia,SEC,33,Alabama,SEC,18
