Rk,School,G,Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_yds,Pass_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Total_Plays,Total_O_Yds,Avg_Total_O,Pass_First_D,Rush_First_D,First_D_Penalties,First_D_Tot,No_penalties_per_game,Penalty_Yds,Fum,Int,Tot_Turnovers,Year,Conference
1,Miami (FL),11,44.7,26,38.2,68.1,360.2,3.3,33,181.3,5.5,2.3,71.2,541.5,7.6,15.5,10.3,1.7,27.5,6.5,67.5,0.5,0.6,1.1,2024,ACC
2,Indiana,11,41.3,18.5,26.9,68.6,257.5,2.3,38.2,168.2,4.4,3.1,65.1,425.7,6.5,11.6,10.1,1.8,23.5,4.7,43.6,0.3,0.5,0.7,2024,Big Ten
7,Washington State,11,38.8,19.6,30.4,64.7,276.7,2.6,36.9,177.8,4.8,2.4,67.3,454.5,6.8,11.6,9.7,2.2,23.5,6.4,59.3,0.4,0.5,0.9,2024,Pac-12
9,Ole Miss,11,38.5,23,33.9,67.8,361.8,2.4,37.8,170.8,4.5,2.3,71.7,532.6,7.4,13.5,9.9,1.5,24.9,7.6,77.4,0.5,0.5,1.1,2024,SEC
10,Ohio State,11,37.8,20.3,28.3,71.7,261.5,2.5,34.5,177.5,5.2,2.2,62.7,439.1,7,11.3,9.2,0.6,21.1,4.5,42,0.5,0.5,1,2024,Big Ten
11,Clemson,11,37.6,23.4,37.5,62.4,274.6,2.7,35,195.3,5.6,1.9,72.5,469.9,6.5,12.1,10.8,2.1,25,5.5,53.4,0.2,0.5,0.6,2024,ACC
12,Tennessee,11,37.4,18.5,28.8,64.4,228.5,1.5,45.3,227.5,5,2.9,74.1,456.1,6.2,10.9,11.2,1.5,23.5,7.8,65.2,0.6,0.5,1.2,2024,SEC
13,Texas Tech,11,37.4,26.2,41.8,62.6,292.5,2.5,36.7,157.5,4.3,1.8,78.5,450,5.7,13.1,9.4,1.6,24.1,8,68.4,0.9,0.7,1.6,2024,Big 12
15,Texas,11,36.5,23,34,67.6,279.7,2.9,36.5,169.6,4.7,1.8,70.5,449.4,6.4,11.8,9,1.4,22.2,6.3,52.6,0.8,0.7,1.5,2024,SEC
17,Alabama,11,36.2,17.5,27,64.6,238.6,1.5,36.8,181,4.9,3.4,63.8,419.6,6.6,9.7,9.8,1.5,21,7.8,72.5,0.5,0.8,1.3,2024,SEC
